Date Added,Company Name,Trade,City,Website,Main Phone,Owner/Manager Name,Email,Lead Source Guess (Google Ads / LSA / Organic / Unknown),First Call Attempt,First Call Outcome,Email Sent,Follow-Up Call Date,Follow-Up Outcome,Demo Booked,Demo Date,Proposal Sent,Pilot Status,Notes
2026-04-24,Roof Co.,Roofing,Tulsa,https://okroofco.com/,918-921-4400,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Pro-Tech Roofing,Roofing,Tulsa,https://www.tulsaprotech.com/,918-250-7663,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Arrowhead Roofing,Roofing,Tulsa,https://www.arrowheadroofing.com/,918-743-9257,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Hot Shot Electric LLC,Electrical,Tulsa,https://hotshotelectrical.com/tulsa-electrician/,918-261-8024,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Houchin Electric,Electrical,Tulsa,https://www.houchinelectric.com/,918-663-1818,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Tulsa Electric LLC,Electrical,Tulsa,https://tulsaelectricllc.com/,918-992-5233,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,FireFly Electricians,Electrical,Tulsa,https://fireflyelectricians.com/,918-804-9222,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Mr. Electric of Tulsa,Electrical,Tulsa,https://mrelectric.com/tulsa,833-785-6698,,,Unknown,,,,,,No,,,New,"Source: company site"
2026-04-24,Tulsa Insulation Company,Insulation,Tulsa,https://www.istulsa.com/home,918-232-9055,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Rise Foam Insulation,Insulation,Tulsa,https://risefoam.com/,918-520-8485,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Overhead Door Company of Tulsa,Garage Door,Tulsa,https://overheaddoortulsa.com/,918-836-2546,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Superior Overhead Doors,Garage Door,Tulsa,https://superioroverheaddoors.com/,918-228-5333,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Discount Garage Door,Garage Door,Tulsa,https://okdiscountgaragedoor.com/,918-234-3667,,,Unknown,,,,,,No,,,New,"Source: DDG"
2026-04-24,Tulsa Garage Door Pros,Garage Door,Tulsa,https://tulsagaragedoorpros.com/,918-897-0025,,,Unknown,,,,,,No,,,New,"Source: DDG"
